,MEMBER_NO,clusters
861,36622,2.0
862,16652,2.0
863,50367,2.0
864,26358,2.0
865,11759,2.0
866,11295,2.0
867,30402,2.0
868,1351,5.0
869,35932,2.0
870,58495,2.0
871,14053,2.0
872,2380,2.0
873,19962,2.0
874,53352,2.0
875,15770,2.0
876,3057,5.0
877,8515,2.0
878,26513,5.0
879,8947,2.0
880,755,2.0
881,62287,2.0
882,49644,2.0
883,31064,2.0
884,22223,2.0
885,47257,2.0
886,8492,2.0
887,54654,2.0
888,9844,2.0
889,24359,2.0
890,46230,2.0
891,310,2.0
892,41094,2.0
893,62863,2.0
894,28006,2.0
895,35937,2.0
896,16747,2.0
897,43999,2.0
898,9713,2.0
899,48126,2.0
900,57568,2.0
901,44961,2.0
902,45005,2.0
903,9735,2.0
904,57421,2.0
905,38099,2.0
906,2310,5.0
907,34110,2.0
908,42624,2.0
909,40132,5.0
910,11220,2.0
911,54602,5.0
912,32423,2.0
913,25115,2.0
914,22014,2.0
915,38067,2.0
916,52661,2.0
917,45577,2.0
918,57913,5.0
919,921,5.0
920,41275,2.0
921,13131,2.0
922,56192,2.0
923,26638,2.0
924,49794,5.0
925,47757,2.0
926,41770,2.0
927,13247,2.0
928,43906,2.0
929,44952,2.0
930,12881,2.0
931,3257,2.0
932,17745,4.0
933,22759,2.0
934,40265,5.0
935,60246,2.0
936,26831,2.0
937,10110,2.0
938,23777,2.0
939,6306,2.0
940,6947,2.0
941,2472,2.0
942,53232,2.0
943,18673,5.0
944,46824,2.0
945,55871,2.0
946,53944,2.0
947,56408,2.0
948,62462,2.0
949,24465,2.0
950,8313,2.0
951,38248,2.0
952,14125,2.0
953,46523,2.0
954,18043,2.0
955,9581,2.0
956,60273,2.0
957,37404,2.0
958,1041,2.0
959,54031,2.0
960,6641,2.0
961,26500,2.0
962,45866,2.0
963,57633,2.0
964,17391,2.0
965,50048,2.0
966,8898,2.0
967,47233,2.0
968,47251,2.0
969,891,5.0
970,18810,2.0
971,35836,2.0
972,18870,2.0
973,27973,2.0
974,9489,2.0
975,27928,2.0
976,48152,2.0
977,4908,2.0
978,2182,2.0
979,30905,3.0
980,25211,2.0
981,19386,5.0
982,50889,2.0
983,20231,2.0
984,23700,2.0
985,62966,2.0
986,29752,2.0
987,28028,5.0
988,19265,2.0
989,11051,2.0
990,3793,2.0
991,41265,2.0
992,8259,2.0
993,29959,2.0
994,31387,2.0
995,11916,2.0
996,58849,2.0
997,36711,2.0
998,39494,2.0
999,46309,2.0
1000,13631,2.0
1001,34095,2.0
1002,48928,2.0
1003,56839,2.0
1004,49221,2.0
1005,38177,2.0
1006,62939,5.0
